Borough,LocationType,day,time,turnoutStatus
Bronx,Recreation Center,Tue,20:00,less than avg
Manhattan,Playground,Wed,20:00,less than avg
Brooklyn,Playground,Wed,0:00,less than avg
Bronx,Park,Wed,20:00,less than avg
Queens,Park,Wed,20:30,less than avg
Staten Island,Recreation Center,Wed,20:30,more than avg
Manhattan,Playground,Thu,20:00,less than avg
Brooklyn,Park,Thu,20:00,less than avg
Staten Island,Park,Thu,20:00,less than avg
Manhattan,Recreation Center,Fri,20:00,less than avg
Bronx,Other,Fri,20:00,less than avg
Manhattan,Playground,Fri,20:00,more than avg
Staten Island,Park,Fri,20:00,more than avg
Queens,Park,Fri,20:30,more than avg
Brooklyn,Park,Fri,20:00,more than avg
Staten Island,Park,Fri,20:00,more than avg
Bronx,Park,Sat,20:00,less than avg
Manhattan,Playground,Sat,18:00,less than avg
Staten Island,Park,Sat,0:00,less than avg
Brooklyn,Park,Sat,20:00,less than avg
Queens,Park,Sat,20:30,less than avg
Staten Island,Park,Sat,20:00,less than avg
Staten Island,Park,Sat,20:00,less than avg
Brooklyn,Park,Sun,20:00,less than avg
Queens,Other,Sun,20:30,more than avg
Bronx,Playground,Mon,20:00,less than avg
Brooklyn,Playground,Mon,20:00,less than avg
Queens,Park,Mon,20:30,less than avg
Queens,Park,Tue,20:30,less than avg
Manhattan,Playground,Tue,20:00,less than avg
Brooklyn,Park,Tue,20:00,less than avg
Manhattan,Park,Wed,20:00,less than avg
Staten Island,Recreation Center,Wed,20:00,less than avg
Brooklyn,Playground,Wed,20:00,less than avg
Staten Island,Recreation Center,Wed,20:00,less than avg
Queens,Park,Wed,20:30,less than avg
Staten Island,Park,Thu,20:00,less than avg
Bronx,Playground,Thu,19:30,less than avg
Manhattan,Park,Thu,20:00,more than avg
Staten Island,Park,Fri,20:00,less than avg
Bronx,Recreation Center,Fri,19:30,less than avg
Queens,Park,Fri,20:30,less than avg
Manhattan,Park,Fri,18:00,less than avg
Brooklyn,Park,Fri,20:00,less than avg
Queens,Playground,Sat,20:30,less than avg
Staten Island,Recreation Center,Sat,12:30,less than avg
Bronx,Park,Sat,19:30,less than avg
Manhattan,Playground,Sat,20:00,more than avg
Queens,Playground,Sun,20:30,less than avg
Manhattan,Park,Tue,19:30,less than avg
Manhattan,Playground,Wed,19:30,less than avg
Manhattan,Playground,Wed,19:30,less than avg
Bronx,Playground,Thu,19:30,less than avg
Queens,Other,Thu,20:30,less than avg
Brooklyn,Park,Fri,20:00,less than avg
Manhattan,Park,Fri,19:30,less than avg
Manhattan,Recreation Center,Fri,19:30,less than avg
Bronx,Park,Fri,19:30,less than avg
